station_eva,direction,train_id,type,timestamp,tts
8000207,arrival,r17066317,q,2505010224,25-05-01 02:24:40.140
8000207,arrival,r17071223,d,2505010832,25-05-01 08:32:16.312
8000207,arrival,r17084075,f,2505011407,25-05-01 14:07:56.628
8000207,arrival,r17085279,q,2505011435,25-05-01 14:35:43.403
8000207,departure,r17066317,q,2505010224,25-05-01 02:24:40.140
8000207,departure,r17071223,d,2505010832,25-05-01 08:32:16.312
8000207,departure,r17084075,f,2505011407,25-05-01 14:07:56.628
8000207,departure,r17085279,q,2505011435,25-05-01 14:35:43.403
8000207,departure,r17086684,f,2505011509,25-05-01 15:09:38.187
8000207,arrival,r17079413,d,2505011218,25-05-01 12:18:53.979
8000207,arrival,r17081799,d,2505011318,25-05-01 13:19:02.533
8000207,arrival,r17081801,d,2505011318,25-05-01 13:19:02.533
8000207,arrival,r17094690,d,2505011756,25-05-01 17:56:18.480
8000207,departure,r17079413,d,2505011218,25-05-01 12:18:53.979
8000207,departure,r17081799,d,2505011318,25-05-01 13:19:02.533
8000207,departure,r17081801,d,2505011318,25-05-01 13:19:02.533
8000207,departure,r17094690,d,2505011756,25-05-01 17:56:18.480
8000207,departure,r17028709,d,2504301318,25-04-30 13:18:21.542
8000207,departure,r17064981,d,2505010148,25-05-01 01:48:55.411
8000207,departure,r17100221,d,2505012022,25-05-01 20:22:47.483
8000207,arrival,r17100488,d,2505012030,25-05-01 20:30:56.952
8000207,arrival,r17100760,d,2505012038,25-05-01 20:38:51.895
8000207,arrival,r17100328,d,2505012025,25-05-01 20:25:57.153
8000207,arrival,r17100326,d,2505012025,25-05-01 20:25:57.153
8000207,arrival,r17100280,d,2505012024,25-05-01 20:24:54.229
8000207,arrival,r17100269,d,2505012024,25-05-01 20:24:22.528
8000207,departure,r17100269,d,2505012024,25-05-01 20:24:22.528
8000207,arrival,r17101730,d,2505012110,25-05-01 21:10:43.479
8000207,departure,r17101730,d,2505012110,25-05-01 21:10:43.479
8000207,arrival,r17093959,d,2505011738,25-05-01 17:38:15.586
8000207,arrival,r17101608,d,2505012106,25-05-01 21:06:30.344
8000207,departure,r17093959,d,2505011738,25-05-01 17:38:15.586
8000207,departure,r17101608,d,2505012106,25-05-01 21:06:30.344
8000207,arrival,r17067630,d,2505010454,25-05-01 04:54:37.641
8000207,arrival,r17093896,d,2505011736,25-05-01 17:36:56.309
8000207,arrival,r17094720,f,2505011756,25-05-01 17:56:34.451
8000207,arrival,r17098521,d,2505011931,25-05-01 19:31:46.846
8000207,departure,r17099834,f,2505012011,25-05-01 20:11:26.346
8000207,departure,r17101759,f,2505012111,25-05-01 21:11:30.778
8000207,departure,r17101760,f,2505012111,25-05-01 21:11:30.778
8000207,departure,r17101761,f,2505012111,25-05-01 21:11:30.777
8000207,departure,r17101762,f,2505012111,25-05-01 21:11:30.778
8000207,arrival,r17099884,d,2505012013,25-05-01 20:13:16.948
8000207,departure,r17099884,d,2505012013,25-05-01 20:13:16.948
8000207,departure,r17100068,d,2505012017,25-05-01 20:18:02.513
8000207,arrival,r17100064,d,2505012017,25-05-01 20:17:46.483
8000207,departure,r17100064,d,2505012017,25-05-01 20:17:46.483
8000207,arrival,r17093399,f,2505011725,25-05-01 17:25:30.803
8000207,arrival,r17098784,f,2505011938,25-05-01 19:38:09.064
8000207,arrival,r17098790,f,2505011938,25-05-01 19:38:09.064
8000207,arrival,r17100242,d,2505012023,25-05-01 20:23:34.946
8000207,arrival,r17101275,d,2505012056,25-05-01 20:56:47.609
8000207,arrival,r17101277,d,2505012056,25-05-01 20:56:47.609
8000207,departure,r17093399,f,2505011725,25-05-01 17:25:30.803
8000207,departure,r17096581,f,2505011843,25-05-01 18:44:03.453
8000207,departure,r17100242,d,2505012023,25-05-01 20:23:34.946
8000207,departure,r17101275,d,2505012056,25-05-01 20:56:47.609
8000207,departure,r17101277,d,2505012056,25-05-01 20:56:47.609
8000207,arrival,r17099147,f,2505011949,25-05-01 19:49:30.812
8000207,arrival,r17101569,q,2505012104,25-05-01 21:04:23.897
8000207,departure,r17101569,q,2505012104,25-05-01 21:04:23.897
8000207,arrival,r17067632,d,2505010454,25-05-01 04:54:52.990
8000207,arrival,r17081586,f,2505011310,25-05-01 13:10:53.204
8000207,departure,r17100384,f,2505012027,25-05-01 20:28:03.519
8000207,departure,r17100385,f,2505012027,25-05-01 20:28:03.519
8000207,departure,r17101284,q,2505012056,25-05-01 20:57:03.415
8000207,departure,r17098789,f,2505011938,25-05-01 19:38:09.064
8000207,departure,r17098791,f,2505011938,25-05-01 19:38:09.064
8000207,departure,r17099618,f,2505012005,25-05-01 20:05:21.376
8000207,departure,r17099620,f,2505012005,25-05-01 20:05:21.376
8000207,departure,r17099836,f,2505012011,25-05-01 20:11:42.333
8000207,departure,r17099838,f,2505012011,25-05-01 20:11:42.333
8000207,departure,r17101030,f,2505012047,25-05-01 20:47:49.555
8000207,departure,r17101035,f,2505012047,25-05-01 20:48:05.359
8000207,departure,r17101037,f,2505012047,25-05-01 20:48:05.359
